"ID","title","point","comment","haha","author","content","url"
"618556127190601728","Cyberattack Disrupts New Jersey Online Casinos, Hacker Demands Ransom - Traffic Jam http://www.pokersites.com/news/cyber-attack-disrupts-new-jersey-online-casinos-hacker-demands-ransom-7108 …pic.twitter.com/tI3QjuX3Zp",1,0,"20150707","pokersites","Cyberattack Disrupts New Jersey Online Casinos, Hacker Demands Ransom - Traffic Jam http://www.pokersites.com/news/cyber-attack-disrupts-new-jersey-online-casinos-hacker-demands-ransom-7108 …pic.twitter.com/tI3QjuX3Zp","/pokersites/status/618556127190601729"
"618552115678584832","Cyber Attack Disrupts New Jersey Online Casinos, Hacker Demands Ransom http://www.pokersites.com/news/cyber-attack-disrupts-new-jersey-online-casinos-hacker-demands-ransom-7108 …",0,0,"20150707","n3t_security","Cyber Attack Disrupts New Jersey Online Casinos, Hacker Demands Ransom http://www.pokersites.com/news/cyber-attack-disrupts-new-jersey-online-casinos-hacker-demands-ransom-7108 …","/n3t_security/status/618552115678584833"
"1233174568984072192","Government Employees Unprepared for Ransomware http://ow.ly/rkQt50yy2nS  #ransomware #government #securitythreat #cyberattack",0,1,"20200227","cyberintel","Government Employees Unprepared for Ransomware http://ow.ly/rkQt50yy2nS  #ransomware #government #securitythreat #cyberattack","/cyberintel/status/1233174568984072194"
"1233173764436877312","Can military robotics be hacked? http://atjo.es/5IM4  #robotics #securitybreach #deterrence #cyberthreat #cyberspace #cyberattack #malware #ransomware #datatheft #IDTheft #IPTheft",0,0,"20200227","DreamPortNews","Can military robotics be hacked? http://atjo.es/5IM4  #robotics #securitybreach #deterrence #cyberthreat #cyberspace #cyberattack #malware #ransomware #datatheft #IDTheft #IPTheft","/DreamPortNews/status/1233173764436877319"
"1233172065273962496","RT Government Employees Unprepared for Ransomware http://ow.ly/rkQt50yy2nS  #ransomware #government #securitythreat #cyberattack",0,1,"20200227","hollandcbarry","RT Government Employees Unprepared for Ransomware http://ow.ly/rkQt50yy2nS  #ransomware #government #securitythreat #cyberattack","/hollandcbarry/status/1233172065273962497"
"1233169975441010688","Government Employees Unprepared for Ransomware http://ow.ly/rkQt50yy2nS  #ransomware #government #securitythreat #cyberattack",9,10,"20200227","DarkReading","Government Employees Unprepared for Ransomware http://ow.ly/rkQt50yy2nS  #ransomware #government #securitythreat #cyberattack","/DarkReading/status/1233169975441010689"
"1233169157467693056","Cyber attack forces cancellation of wool sales across Australia https://www.abc.net.au/news/rural/2020-02-27/ransomware-cyber-attack-cripples-australian-wool-sales/12007912 …",0,0,"20200227","Waterfind","Cyber attack forces cancellation of wool sales across Australia https://www.abc.net.au/news/rural/2020-02-27/ransomware-cyber-attack-cripples-australian-wool-sales/12007912 …","/Waterfind/status/1233169157467693056"
"857373022067593216","@AegisFS : #cybersecurity & #bitcoin | http://bit.ly/2oBAkKg  @BTRTG | #darkweb #deepweb #ransomeware #cybercrime #CyberAttack pic.twitter.com/VRU2uvG8jy",1,1,"20170426","FriedonBusiness","@AegisFS : #cybersecurity & #bitcoin | http://bit.ly/2oBAkKg  @BTRTG | #darkweb #deepweb #ransomeware #cybercrime #CyberAttack pic.twitter.com/VRU2uvG8jy","/FriedonBusiness/status/857373022067593216"
"891801795705659392","#Ukraine Claims #Russia Launched #NotPetya #Ransomware Attack.
#Malware #CyberSecurity #CyberAttack #Petya #NetHackhttps://www.newscientist.com/article/2139647-ukraine-claims-russia-launched-notpetya-ransomware-attack/ …",0,0,"20170730","BKOH4062","#Ukraine Claims #Russia Launched #NotPetya #Ransomware Attack.
#Malware #CyberSecurity #CyberAttack #Petya #NetHackhttps://www.newscientist.com/article/2139647-ukraine-claims-russia-launched-notpetya-ransomware-attack/ …","/BKOH4062/status/891801795705659393"
"891796303885340672","Petya ransomware: Companies are still dealing with aftermath of global cyberattack | ZDNet http://crwd.fr/2urzGVT pic.twitter.com/57IcRmAevM",0,0,"20170730","techsecurityblg","Petya ransomware: Companies are still dealing with aftermath of global cyberattack | ZDNet http://crwd.fr/2urzGVT pic.twitter.com/57IcRmAevM","/techsecurityblg/status/891796303885340672"
